path subset label score pred
generated_audio/ljspeech_parallel_wavegan/LJ016-0420_gen.wav test spoof -0.9992899 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_3966.wav test spoof -0.9999126 0
generated_audio/ljspeech_multi_band_melgan/LJ021-0038_gen.wav test spoof -0.99978715 0
generated_audio/ljspeech_multi_band_melgan/LJ008-0071_gen.wav test spoof -0.97006947 3
generated_audio/ljspeech_waveglow/LJ042-0066.wav test spoof -0.82106036 0
generated_audio/ljspeech_melgan_large/LJ007-0086_gen.wav test spoof -0.45628768 3
generated_audio/ljspeech_melgan_large/LJ026-0094_gen.wav test spoof -0.98328155 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_2566.wav test spoof -0.9237272 0
generated_audio/ljspeech_waveglow/LJ032-0016.wav test spoof -0.81983066 0
generated_audio/jsut_parallel_wavegan/BASIC5000_1225_gen.wav test spoof -0.9992378 3
generated_audio/jsut_parallel_wavegan/BASIC5000_0047_gen.wav test spoof -0.99989045 3
generated_audio/ljspeech_waveglow/LJ012-0173.wav test spoof -0.44656911 0
generated_audio/ljspeech_melgan_large/LJ048-0279_gen.wav test spoof -0.7633953 0
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_13469.wav test spoof -0.9993098 0
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_12392.wav test spoof -0.5294623 3
generated_audio/ljspeech_hifiGAN/LJ018-0251_generated.wav test spoof -0.35382143 3
generated_audio/jsut_multi_band_melgan/BASIC5000_3293_gen.wav test spoof -0.99999857 2
generated_audio/jsut_parallel_wavegan/BASIC5000_0514_gen.wav test spoof -0.9999962 3
generated_audio/ljspeech_melgan_large/LJ041-0107_gen.wav test spoof -0.99470574 0
generated_audio/ljspeech_melgan_large/LJ007-0112_gen.wav test spoof -0.59457743 4
generated_audio/jsut_parallel_wavegan/BASIC5000_3665_gen.wav test spoof -0.99996996 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_7143.wav test spoof -0.47817975 0
generated_audio/ljspeech_waveglow/LJ015-0177.wav test spoof -0.9665553 1
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_13060.wav test spoof -0.6314196 0
generated_audio/ljspeech_multi_band_melgan/LJ045-0019_gen.wav test spoof -0.9828136 0
generated_audio/ljspeech_hifiGAN/LJ029-0163_generated.wav test spoof -0.98847836 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_15178.wav test spoof -0.9999294 0
generated_audio/ljspeech_waveglow/LJ045-0090.wav test spoof -0.9239242 4
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_2279.wav test spoof -0.8958205 0
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_14228.wav test spoof -0.8816688 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_3315.wav test spoof -0.8034236 1
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_16189.wav test spoof -0.55785745 1
generated_audio/ljspeech_melgan/LJ016-0422_gen.wav test spoof -0.9732031 3
generated_audio/ljspeech_melgan/LJ035-0062_gen.wav test spoof -0.99818015 0
generated_audio/ljspeech_waveglow/LJ044-0069.wav test spoof -0.9999999 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_1657.wav test spoof -0.8060442 4
generated_audio/ljspeech_waveglow/LJ007-0088.wav test spoof -0.6693869 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_7028.wav test spoof -0.99309903 0
generated_audio/ljspeech_full_band_melgan/LJ024-0034_gen.wav test spoof -0.9978713 3
generated_audio/ljspeech_waveglow/LJ018-0388.wav test spoof -0.92476827 4
generated_audio/jsut_multi_band_melgan/BASIC5000_2715_gen.wav test spoof -0.9999131 3
generated_audio/ljspeech_parallel_wavegan/LJ028-0295_gen.wav test spoof -0.8890718 3
generated_audio/ljspeech_hifiGAN/LJ006-0173_generated.wav test spoof -0.99873215 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_6846.wav test spoof -0.95703816 0
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_14551.wav test spoof -0.9285147 0
generated_audio/ljspeech_parallel_wavegan/LJ031-0152_gen.wav test spoof -0.9993722 0
generated_audio/ljspeech_waveglow/LJ001-0014.wav test spoof -0.38936803 4
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_7574.wav test spoof -0.9933343 0
generated_audio/ljspeech_melgan_large/LJ006-0087_gen.wav test spoof -0.5867011 1
generated_audio/ljspeech_parallel_wavegan/LJ017-0087_gen.wav test spoof -0.72598696 0
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_16081.wav test spoof -0.7915041 0
generated_audio/ljspeech_full_band_melgan/LJ046-0115_gen.wav test spoof -0.9999968 3
generated_audio/ljspeech_multi_band_melgan/LJ040-0019_gen.wav test spoof -0.9961675 0
generated_audio/ljspeech_full_band_melgan/LJ050-0241_gen.wav test spoof -0.9999683 3
generated_audio/ljspeech_hifiGAN/LJ022-0097_generated.wav test spoof -0.7682107 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_11849.wav test spoof -0.9995846 0
generated_audio/ljspeech_multi_band_melgan/LJ006-0257_gen.wav test spoof -0.98917484 0
generated_audio/ljspeech_full_band_melgan/LJ017-0078_gen.wav test spoof -0.99939406 0
generated_audio/ljspeech_parallel_wavegan/LJ032-0149_gen.wav test spoof -0.9367345 3
generated_audio/ljspeech_parallel_wavegan/LJ028-0421_gen.wav test spoof -0.6156032 0
generated_audio/ljspeech_melgan/LJ020-0006_gen.wav test spoof -0.46218246 4
generated_audio/ljspeech_parallel_wavegan/LJ011-0234_gen.wav test spoof -0.7256072 2
generated_audio/ljspeech_multi_band_melgan/LJ018-0220_gen.wav test spoof -0.9965224 3
generated_audio/ljspeech_melgan_large/LJ028-0289_gen.wav test spoof -0.50489426 0
generated_audio/ljspeech_melgan_large/LJ037-0244_gen.wav test spoof -0.8920296 0
generated_audio/ljspeech_melgan_large/LJ050-0231_gen.wav test spoof -0.66433245 1
generated_audio/ljspeech_melgan_large/LJ047-0212_gen.wav test spoof -0.69758373 0
generated_audio/ljspeech_hifiGAN/LJ009-0286_generated.wav test spoof -0.9247857 1
generated_audio/ljspeech_melgan/LJ017-0095_gen.wav test spoof -0.56318706 2
generated_audio/ljspeech_melgan/LJ037-0073_gen.wav test spoof -0.9999994 3
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_1280.wav test spoof -0.80465585 1
generated_audio/ljspeech_melgan_large/LJ017-0269_gen.wav test spoof -0.98544484 0
generated_audio/ljspeech_hifiGAN/LJ005-0163_generated.wav test spoof -0.56951636 1
generated_audio/ljspeech_melgan/LJ019-0243_gen.wav test spoof -0.73155284 1
generated_audio/ljspeech_hifiGAN/LJ029-0061_generated.wav test spoof -0.9835961 0
generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/generated/gen_9144.wav test spoof -0.9614997 0
generated_audio/ljspeech_waveglow/LJ034-0125.wav test spoof -0.99892527 3
generated_audio/jsut_parallel_wavegan/BASIC5000_0981_gen.wav test spoof -0.99999917 3
